saqa_id;name;type;field_study;subfield_study
81238;Master of Arts: Digital Media;Master's Degree;Communication Studies and Language;Communication Studies
7583;Doctor of Philosophy: Commerce and Industry;Doctoral Degree;Human and Social Studies;General Social Science
9103;Master of Arts;Master's Degree;Human and Social Studies;General Social Science
104740;Master of Philosophy in Paediatric Endocrinology;Master's Degree;Health Sciences and Social Services;Curative Health
14445;Bachelor of Consumer Science: Education: Hotelkeeping and Catering;National First Degree(Min 480);Services;Consumer Services
80047;National Certificate: Road Safety Development;National Certificate;Law, Military Science and Security;Safety in Society
16717;Bachelor of Science: Physical Education and Sports Science;National First Degree;Culture and Arts;Sport
62809;Certificate: Financial Products;National Certificate;Business, Commerce and Management Studies;Finance, Economics and Accounting
6249;Master of Arts in Fine Arts;Master's Degree;Culture and Arts;Visual Arts
100920;Master of Commerce in Industrial and Organisational Psychology;Master's Degree;Business, Commerce and Management Studies;Human Resources
99557;Master of Public Administration;Master's Degree;Human and Social Studies;Public Policy, Politics and Democratic Citizenship
48662;National Certificate: Postal Frontline Service Management;National Certificate;Services;Consumer Services
59389;National Certificate: Nature Conservation: Resource Guardianship;National Certificate;Agriculture and Nature Conservation;Nature Conservation
64389;Further Education and Training Certificate: Corrections Services;Further Ed and Training Cert;Law, Military Science and Security;Safety in Society
67554;National Certificate: N3 Water and Waste-Water Treatment Practice;National N Certificate;Physical Planning and Construction;Civil Engineering Construction
17422;Postgraduate Certificate: Business Administration;Postgraduate Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
101453;Advanced Diploma in Health Management;Advanced Diploma;Health Sciences and Social Services;Preventive Health
73109;National Certificate: Landscape Irrigation;National Certificate;Agriculture and Nature Conservation;Horticulture
67417;Postgraduate Diploma in Family Medicine;Postgraduate Diploma;Health Sciences and Social Services;Curative Health
36002;Certificate: Waldorf-Enriched Education;National Certificate;Education, Training and Development;Schooling
59450;Diploma in Technology Management and Innovation;National Diploma;Business, Commerce and Management Studies;Generic Management
98826;Higher Certificate in Operations Management;Higher Certificate;Business, Commerce and Management Studies;Generic Management
101177;Advanced Diploma in Information and Communications Technology in Applications Development;Advanced Diploma;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
101910;Master of Education in Adult and Community Education;Master's Degree;Education, Training and Development;Adult Learning
96992;Diploma in Sport Management;Diploma (Min 360);Culture and Arts;Sport
49411;General Education and Training Certificate: Construction;National Certificate;Physical Planning and Construction;Building Construction
19256;Bachelor of Science Honours in Applied Mathematics;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
109721;Bachelor of Commerce Honours in Actuarial Science;Honours Degree;Business, Commerce and Management Studies;Office Administration
67509;Further Education and Training Certificate: Community Development;Further Ed and Training Cert;Education, Training and Development;Adult Learning
105123;Bachelor of Arts in Law;National First Degree;Law, Military Science and Security;Justice in Society
19439;Certificate: Education: Training and Development: Adult Learning;National Certificate;Education, Training and Development;Higher Education and Training
81334;Master of Medicine in Virology;Master's Degree;Health Sciences and Social Services;Curative Health
98822;Occupational Certificate: Diesel Fitter;Occupational Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
78656;National Diploma: Packaging and Printing Technology;National Diploma;Manufacturing, Engineering and Technology;Manufacturing and Assembly
85127;Advanced Diploma: Nature Conservation;Advanced Diploma;Agriculture and Nature Conservation;Nature Conservation
94948;Diploma in Public Accountability;Diploma (Min 240);Business, Commerce and Management Studies;Public Administration
58435;Postgraduate Diploma: Religious Studies;Postgraduate Diploma;Human and Social Studies;Religious and Ethical Foundations of Society
83930;Master of Administration;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
17007;Doctor of Philosophy: Business Management;Doctoral Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
65312;Bachelor of Technology: Engineering: Electrical;B Tech;Physical Planning and Construction;Electrical Infrastructure Construction
21418;Master of Medicine in Forensic Pathology;Master's Degree;Health Sciences and Social Services;Preventive Health
16562;Doctor of Philosophy: Otorhinolaryngology;Doctoral Degree;Health Sciences and Social Services;Curative Health
49777;Bachelor of Commerce: Tourism Management;National First Degree;Business, Commerce and Management Studies;Generic Management
58348;National Certificate: Perishable Produce Export Technology;National Certificate;Agriculture and Nature Conservation;Secondary Agriculture
72756;Bachelor of Arts Honours: Life Skills: Counselling;Honours Degree;Human and Social Studies;People/Human-Centred Development
102476;Bachelor of Science Honours in Physics;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Physical Sciences
15335;Bachelor of Science: Medical Sciences: General Option;National First Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
101092;Bachelor of Arts Honours in Theory of Literature;Honours Degree;Communication Studies and Language;Literature
81087;Bachelor of Commerce Honours in Supply Chain Management;Honours Degree;Business, Commerce and Management Studies;Generic Management
48904;National Certificate: Paprika Oleoresin Extraction and Blending;National Certificate;Agriculture and Nature Conservation;Secondary Agriculture
19277;Bachelor of Science Honours: Plant Resource Management;Honours Degree;Agriculture and Nature Conservation;Nature Conservation
103145;Occupational Certificate: Retail Buyer;Occupational Certificate;Services;Wholesale and Retail
22415;Master of Laws;Master's Degree;Law, Military Science and Security;Justice in Society
6477;Bachelor of Science in Agriculture in Animal Science;National First Degree(Min 480);Agriculture and Nature Conservation;Primary Agriculture
94223;Diploma in Music Technology;Diploma (Min 360);Culture and Arts;Music
64697;Further Education and Training Certificate: Community Health Work;Further Ed and Training Cert;Health Sciences and Social Services;Promotive Health and Developmental Services
90614;Master of Social Anthropology;Master's Degree;Human and Social Studies;Traditions, History and Legacies
87059;Bachelor of Psychology;National First Degree;Human and Social Studies;General Social Science
81073;Bachelor of Commerce Honours: Business Finance;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
21657;Doctor of Laws: International Law;Doctoral Degree;Law, Military Science and Security;Justice in Society
59429;National Certificate: Inclusive Education;National Certificate;Education, Training and Development;Adult Learning
97457;Bachelor of Education in Intermediate Phase Teaching;National First Degree;Education, Training and Development;Schooling
94529;Doctor of Philosophy in Chemical Engineering;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Physical Sciences
73848;Bachelor of Technology: Tourism Management;B Tech;Services;Hospitality, Tourism, Travel, Gaming and Leisure
96984;Diploma in Jewellery Design and Manufacture;Diploma (Min 360);Culture and Arts;Design Studies
99513;Occupational Certificate: Pest Management Officer;Occupational Certificate;Agriculture and Nature Conservation;Secondary Agriculture
80666;Doctor of Philosophy in Computer Science;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
22904;Advanced Certificate: Environmental Education, Training and Development Practice;Advanced Certificate;Education, Training and Development;Adult Learning
15814;University Diploma: Information Technology;Advanced Certificate;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
15766;Postgraduate Diploma: Pastoral Therapy;Postgraduate Diploma;Human and Social Studies;Religious and Ethical Foundations of Society
16101;Doctor of Philosophy in Mining;Doctoral Degree;Manufacturing, Engineering and Technology;Fabrication and Extraction
91925;Further Education and Training Certificate: Mechanical Engineering: Machining and Tooling;Further Ed and Training Cert;Manufacturing, Engineering and Technology;Fabrication and Extraction
96965;Bachelor of Arts Honours in Human Resource Development;Honours Degree;Business, Commerce and Management Studies;Human Resources
96371;Occupational Certificate: Road Transport Manager;Occupational Certificate;Services;Transport, Operations and Logistics
83946;National Certificate: Management;National Certificate;Business, Commerce and Management Studies;Generic Management
105774;Master of Laws;Master's Degree;Law, Military Science and Security;Justice in Society
105443;Doctor of Augmentative and Alternative Communication;Doctoral Degree;Communication Studies and Language;Information Studies
14107;Bachelor of Commerce Honours in Tourism Management;Honours Degree;Services;Hospitality, Tourism, Travel, Gaming and Leisure
15375;Bachelor of Commerce Honours: Management Sciences;Honours Degree;Business, Commerce and Management Studies;Office Administration
81887;Bachelor of Agriculture: Animal Science;National First Degree;Agriculture and Nature Conservation;Primary Agriculture
102026;Higher Certificate in Procurement Management;Higher Certificate;Business, Commerce and Management Studies;Procurement
100865;Master of Arts in Human Resource Management;Master's Degree;Business, Commerce and Management Studies;Human Resources
101865;Occupational Certificate: Tourist Information Officer;Occupational Certificate;Services;Hospitality, Tourism, Travel, Gaming and Leisure
72393;Bachelor of Technology: Engineering: Electrical;B Tech;Physical Planning and Construction;Electrical Infrastructure Construction
50205;National Certificate: Municipal Integrated Development Planning;National Certificate;Business, Commerce and Management Studies;Public Administration
21190;Further Education and Training Certificate: PC Engineering;Further Ed and Training Cert;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
17210;Postgraduate Diploma: Attorneys' Practice;Postgraduate Diploma;Law, Military Science and Security;Justice in Society
49104;National Diploma: Statutory Intelligence: Collection;Advanced Certificate;Law, Military Science and Security;Sovereignty of the State
100877;Bachelor of Science Honours in Computer Science and Information Technology;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
73895;Doctor of Philosophy: Chemistry;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Physical Sciences
101690;Doctor of Philosophy in Applied Sciences;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Physical Sciences
96931;Master of Commerce in Business Administration;Master's Degree;Business, Commerce and Management Studies;Office Administration
96418;Bachelor of Commerce in International Business;National First Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
90721;Certificate: Design Techniques;National Certificate;Culture and Arts;Visual Arts
101193;Diploma in Information and Communications Technology in Communication Networks;Diploma (Min 360);Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
71949;Further Education and Training Certificate: Automotive Components: Manufacturing and Assembly;Further Ed and Training Cert;Manufacturing, Engineering and Technology;Manufacturing and Assembly
67472;National Certificate: N3 Food Services;National N Certificate;Services;Hospitality, Tourism, Travel, Gaming and Leisure
72644;National Diploma: Turfgrass Management;National Diploma;Business, Commerce and Management Studies;Generic Management
16522;Doctor of Medicine: Dermatology;Doctoral Degree;Health Sciences and Social Services;Curative Health
21503;Master of Commerce: Actuarial Science: Research;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
79666;National Certificate: Metal and Engineering Manufacturing Processes;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
84630;Master of Social Work: Social Development and Planning;Master's Degree;Health Sciences and Social Services;Rehabilitative Health/Services
97127;Master of Health Sciences in Medical Laboratory Science;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
80886;Master of Arts: Creative Writing;Master's Degree;Communication Studies and Language;Language
72757;Bachelor of Arts Honours: Social Work;Honours Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
61769;Master of Technology: Business Information Systems;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
96938;Master of Engineering in Industrial Engineering;Master's Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
97386;Master of Arts in Teaching French as a Foreign Language;Master's Degree;Education, Training and Development;Higher Education and Training
98990;Occupational Certificate: Vehicle Trimmer;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
97665;Master of Philosophy in Information Technology Governance;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
100862;Master of Arts in Applied Language Studies;Master's Degree;Communication Studies and Language;Communication Studies
7941;Postgraduate Diploma in English Second Language Education;Postgraduate Diploma;Communication Studies and Language;Language
103186;Occupational Certificate: Textile Wet Process Coating Machine Operator;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
6295;Doctor of Philosophy: Extension;Doctoral Degree;Agriculture and Nature Conservation;Primary Agriculture
4029;Doctor of Philosophy: Physical Planning and Construction;Doctoral Degree;Physical Planning and Construction;Physical Planning, Design and Management
100968;Diploma in Operations Management;Diploma (Min 360);Business, Commerce and Management Studies;Generic Management
73863;Doctor of Engineering: Mechanical Engineering;Doctoral Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
19669;Bachelor of Military Science;National First Degree;Law, Military Science and Security;Safety in Society
48868;Further Education and Training Certificate (FETC): Statutory Intelligence;Further Ed and Training Cert;Law, Military Science and Security;Sovereignty of the State
3437;Master of Science in Occupational Therapy;Master's Degree;Health Sciences and Social Services;Rehabilitative Health/Services
80727;Postgraduate Diploma in Public Mental Health;Postgraduate Diploma;Health Sciences and Social Services;Curative Health
57887;Further Education and Training Certificate: Welding Application and Practice;Further Ed and Training Cert;Manufacturing, Engineering and Technology;Engineering and Related Design
100768;Diploma in Retail Business Management;Diploma (Min 360);Services;Wholesale and Retail
81298;Master of Land Information Management;Master's Degree;Business, Commerce and Management Studies;Generic Management
99627;Doctor of Philosophy in Horticulture;Doctoral Degree;Agriculture and Nature Conservation;Horticulture
48400;National Certificate: Sugar Processing;National Certificate;Agriculture and Nature Conservation;Secondary Agriculture
15554;Doctor of Philosophy: Comparative Education;Doctoral Degree;Education, Training and Development;Schooling
96635;Doctor of Philosophy in Geography;Doctoral Degree;Human and Social Studies;General Social Science
81295;Master of Commerce: Organisational and Management Systems;Master's Degree;Business, Commerce and Management Studies;Generic Management
65489;National Certificate: Air-Conditioning, Refrigeration and Ventilation;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
96888;Master of Management Sciences in Tourism Management;Master's Degree;Services;Hospitality, Tourism, Travel, Gaming and Leisure
6025;Doctor of Laws;Doctoral Degree;Law, Military Science and Security;Justice in Society
21170;National Certificate: Marketing Management;National Certificate;Business, Commerce and Management Studies;Marketing
9805;Master of Medical Science: Anatomy and Cell Morphology;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
60629;Bachelor of Technology: Surface Design;B Tech;Culture and Arts;Design Studies
81278;Master of Arts: Theology;Master's Degree;Human and Social Studies;Traditions, History and Legacies
81310;Master of Medicine in Anatomical Pathology;Master's Degree;Health Sciences and Social Services;Curative Health
109287;Advanced Diploma in Game Ranch Management;Advanced Diploma;Agriculture and Nature Conservation;Nature Conservation
99213;Master of Arts;Master's Degree;Human and Social Studies;General Social Science
97186;Advanced Certificate in Senior Phase Life Orientation Teaching;Advanced Certificate;Education, Training and Development;Schooling
65831;Further Education and Training Certificate: Accommodation Operations and Services;Further Ed and Training Cert;Services;Hospitality, Tourism, Travel, Gaming and Leisure
96514;Master of Environmental Science Ecology and Resource Management;Master's Degree;Human and Social Studies;General Social Science
96796;Higher Certificate in Commercial Photography;Higher Certificate;Culture and Arts;Film, Television and Video
23113;Post Graduate Certificate: Higher Education and Training;National Certificate;Education, Training and Development;Higher Education and Training
73777;Bachelor of Commerce: Investment Management;National First Degree;Business, Commerce and Management Studies;Generic Management
81140;Bachelor of Science: Agriculture: Environmental Microbiology;National First Degree(Min 480);Agriculture and Nature Conservation;Primary Agriculture
90717;Bachelor of Education in Intermediate Phase Teaching;National First Degree;Education, Training and Development;Schooling
109699;Master of Health Science in Dental Technology;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
50371;Further Education and Training Certificate: Domestic Appliance Repair;Further Ed and Training Cert;Physical Planning and Construction;Civil Engineering Construction
101981;Master of Social Science (Community Mental Health Promotion);Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
96490;Master of Physiotherapy;Master's Degree;Health Sciences and Social Services;Rehabilitative Health/Services
50040;Further Education and Training Certificate: Optical Manufacturing Processes;Further Ed and Training Cert;Manufacturing, Engineering and Technology;Manufacturing and Assembly
72849;Bachelor of Science Honours in Property Development in Quantity Surveying;Honours Degree;Physical Planning and Construction;Civil Engineering Construction
100987;Diploma in Somatic Therapy;Diploma (Min 360);Health Sciences and Social Services;Promotive Health and Developmental Services
6291;Doctor of Philosophy in Entomology;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Life Sciences
105449;Doctor of Horticultural Science;Doctoral Degree;Agriculture and Nature Conservation;Horticulture
24378;Bachelor of Science: Agriculture: Livestock Science and Zoology;National First Degree;Agriculture and Nature Conservation;Primary Agriculture
19250;Bachelor of Arts Honours: Movement Education;Honours Degree;Culture and Arts;Sport
100752;Master of Consumer Science in Food and Nutrition;Master's Degree;Services;Consumer Services
72432;Bachelor of Technology: Motion Picture Production: Directing;B Tech;Culture and Arts;Film, Television and Video
63929;National Certificate: Spirits Production;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
88871;Master of Laws in Commercial Law;Master's Degree;Law, Military Science and Security;Justice in Society
98962;Higher Certificate in Personal Training;Higher Certificate;Culture and Arts;Sport
99203;Bachelor of Commerce Honours in Human Resource Management;Honours Degree;Business, Commerce and Management Studies;Human Resources
16384;Master of Medicine in Plastic Surgery;Master's Degree;Health Sciences and Social Services;Curative Health
105124;Bachelors of Arts Honours in Design;Honours Degree;Culture and Arts;Design Studies
19282;Bachelor of Education: General;Postgraduate Diploma;Education, Training and Development;Schooling
100957;Diploma in Policing;Diploma (Min 360);Law, Military Science and Security;Safety in Society
96454;Diploma in Ministry;Diploma (Min 360);Human and Social Studies;Religious and Ethical Foundations of Society
100971;Diploma in Adventure Tourism Management;Diploma (Min 360);Services;Hospitality, Tourism, Travel, Gaming and Leisure
100777;Master of Engineering in Quality;Master's Degree;Business, Commerce and Management Studies;Generic Management
14123;National Diploma: Accommodation Services;National Diploma;Services;Hospitality, Tourism, Travel, Gaming and Leisure
5733;Master of Medicine in Chemical Pathology;Master's Degree;Health Sciences and Social Services;Curative Health
49795;National Certificate: Rail Construction and Maintenance;National Certificate;Physical Planning and Construction;Civil Engineering Construction
72653;National Higher Diploma: Post School Education;National Higher Diploma;Education, Training and Development;Higher Education and Training
21685;Doctor of Philosophy in Chemistry;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Physical Sciences
81252;Master of Arts: German Literature;Master's Degree;Communication Studies and Language;Literature
65338;National Diploma: Building;National Diploma;Physical Planning and Construction;Building Construction
100834;Bachelor of Arts Honours in Sesotho;Honours Degree;Communication Studies and Language;Language
59850;Bachelor of Business Administration;National First Degree;Business, Commerce and Management Studies;Generic Management
9801;Master of Medical Science: Anatomical Pathology;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
15543;Diploma: Higher Education and Training Practice;National Diploma;Education, Training and Development;Higher Education and Training
96396;Occupational Certificate: Freight Handler;Occupational Certificate;Services;Transport, Operations and Logistics
102422;Higher Certificate in Business Management in Project Management;Higher Certificate;Business, Commerce and Management Studies;Project Management
14677;Diploma: Dressmaking and Pattern Cutting;Advanced Certificate;Culture and Arts;Design Studies
21038;Certificate: Commerce: Human Resources Development;National Certificate;Business, Commerce and Management Studies;Human Resources
81231;Master of Arts: Classical Civilisation;Master's Degree;Human and Social Studies;Traditions, History and Legacies
49055;National Certificate: Foreign Economic Representation;National Certificate;Law, Military Science and Security;Sovereignty of the State
59015;National Certificate: Gas Installations;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
104745;Master of Philosophy in Palliative Medicine;Master's Degree;Health Sciences and Social Services;Curative Health
74017;Master of Philosophy in Personal and Professional Leadership;Master's Degree;Education, Training and Development;Higher Education and Training
104751;Postgraduate Diploma in Nursing Management;Postgraduate Diploma;Health Sciences and Social Services;Promotive Health and Developmental Services
96406;Bachelor of Education in Senior Phase and Further Education and Training Phase Teaching;National First Degree;Education, Training and Development;Schooling
73189;Further Education and Training Certificate: Golfing and Golf Coaching;Further Ed and Training Cert;Culture and Arts;Sport
99709;Occupational Certificate: Production or Operations Supervisor (Forestry): (Forestry Production Supervisor);Occupational Certificate;Agriculture and Nature Conservation;Forestry and Wood Technology
73974;Master of Commerce in Financial Economics;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
19193;Bachelor of Arts Honours in Sociology;Honours Degree;Human and Social Studies;Environmental Relations
77163;National Certificate: Industrial Water Treatment Support System Operations;National Certificate;Physical Planning and Construction;Civil Engineering Construction
101437;Advanced Diploma in Education in School Leadership and Management;Advanced Diploma;Education, Training and Development;Schooling
9085;Bachelor of Music;National First Degree;Culture and Arts;Music
65295;Bachelor of Technology: Office Management and Technology;B Tech;Business, Commerce and Management Studies;Office Administration
62951;Advanced Diploma in Professional Acting for Camera;Advanced Diploma;Culture and Arts;Film, Television and Video
62069;National Certificate: Radio Production;National Certificate;Communication Studies and Language;Media Studies
59300;General Education and Training Certificate: Transport;National Certificate;Services;Transport, Operations and Logistics
21106;Certificate: Fitting and Turning;National Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
101836;Master of Philosophy in Paediatric Cardiology;Master's Degree;Health Sciences and Social Services;Curative Health
88902;Postgraduate Diploma: Pharmacological Principles of Drug Therapy;Postgraduate Diploma;Health Sciences and Social Services;Curative Health
15947;Senior Certificate;National Certificate;Education, Training and Development;Schooling
83246;Advanced Certificate: Municipal Governance;Advanced Certificate;Business, Commerce and Management Studies;Public Administration
100931;Master of Engineering in Electrical and Electronic Engineering;Master's Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
7543;Doctor of Science: Medical Sciences;Doctoral Degree;Health Sciences and Social Services;Preventive Health
96547;Bachelor of Arts Honours in Criminal Justice;Honours Degree;Law, Military Science and Security;Justice in Society
94839;Doctor of Philosophy in Anatomy;Doctoral Degree;Health Sciences and Social Services;Preventive Health
49626;National Certificate: Landcare Facilitation;National Certificate;Agriculture and Nature Conservation;Primary Agriculture
67000;National Certificate: N6 Public Management;National N Certificate;Business, Commerce and Management Studies;Public Administration
21679;Doctor of Literature: Linguistics;Doctoral Degree;Communication Studies and Language;Language
58785;National Certificate: Production Technology;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
62380;National Diploma: Credit Management;National Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
72958;Postgraduate Diploma: Engineering;Postgraduate Diploma;Manufacturing, Engineering and Technology;Engineering and Related Design
99031;Bachelor of Engineering Technology in Industrial Engineering;National First Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
100932;Master of Engineering in Computer and Electronic Engineering;Master's Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
66894;National Certificate: N4 Textiles;National N Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
104724;Master of Philosophy in Occupational Health;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
62398;National Diploma: Language Practice;National Diploma;Communication Studies and Language;Language
72960;Postgraduate Diploma in Finance, Banking and Investment Management;Postgraduate Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
87150;Doctor of Music;Doctoral Degree;Culture and Arts;Music
101407;Occupational Certificate: Geomatics Officer;Occupational Certificate;Physical Planning and Construction;Physical Planning, Design and Management
16234;Master of Science: Chemistry;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Life Sciences
96463;Bachelor of Information Science;National First Degree;Communication Studies and Language;Information Studies
16928;Bachelor of Science Honours: Agriculture: Animal Science;Honours Degree;Agriculture and Nature Conservation;Nature Conservation
87512;Postgraduate Diploma: Chemical Pathology;Postgraduate Diploma;Health Sciences and Social Services;Curative Health
66421;Bachelor of Technology: Consumer Science: Food and Nutrition;B Tech;Services;Consumer Services
87076;Bachelor of Technology: Ceramic Design;B Tech;Culture and Arts;Visual Arts
65789;National Certificate: Construction Plant Operations;National Certificate;Physical Planning and Construction;Civil Engineering Construction
72914;Master of Information Studies;Master's Degree;Communication Studies and Language;Information Studies
58143;National Certificate: Music Industry Practice;National Certificate;Culture and Arts;Music
58267;General Education and Training Certificate: Mining and Minerals Processes;National Certificate;Manufacturing, Engineering and Technology;Fabrication and Extraction
101088;Bachelor of Arts Honours in Psychology;Honours Degree;Human and Social Studies;General Social Science
21363;Master of Philosophy: Archaeology;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Physical Sciences
72944;Postgraduate Diploma in Accounting;Postgraduate Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
97098;Diploma in Human Resource Management;Diploma (Min 360);Business, Commerce and Management Studies;Human Resources
